budget_over_255,attack,seed,source,target,source_asr_percent,source_asr_numerator,source_asr_denominator,ptr_percent,ptr_numerator,ptr_denominator,ctr_percent,ctr_numerator,ctr_denominator
4,pgd,0,resnet18,resnet18,99.93691515087794,9505,9511,99.93691515087794,9505,9511,100.0,9505,9505
4,pgd,0,resnet18,vgg16,99.93691515087794,9505,9511,10.421111734980348,928,8905,10.428137993032925,928,8899
4,pgd,0,resnet18,mobilenet_v2,99.93691515087794,9505,9511,41.38829124674442,3655,8831,41.41643059490085,3655,8825
4,pgd,0,vgg16,resnet18,98.14549067225963,8891,9059,54.81190342504211,4881,8905,55.86585784594254,4881,8737
4,pgd,0,vgg16,vgg16,98.14549067225963,8891,9059,98.14549067225963,8891,9059,100.0,8891,8891
4,pgd,0,vgg16,mobilenet_v2,98.14549067225963,8891,9059,63.334498427123386,5436,8583,64.50386215092098,5428,8415
4,pgd,0,mobilenet_v2,resnet18,100.0,8997,8997,28.750990827765825,2539,8831,28.750990827765825,2539,8831
4,pgd,0,mobilenet_v2,vgg16,100.0,8997,8997,10.5674006757544,907,8583,10.5674006757544,907,8583
4,pgd,0,mobilenet_v2,mobilenet_v2,100.0,8997,8997,100.0,8997,8997,100.0,8997,8997
8,noise,0,resnet18,resnet18,3.8481757964462204,366,9511,3.8481757964462204,366,9511,100.0,366,366
8,noise,0,resnet18,vgg16,3.8481757964462204,366,9511,1.9427288040426725,173,8905,14.227642276422763,35,246
8,noise,0,resnet18,mobilenet_v2,3.8481757964462204,366,9511,8.934435511267127,789,8831,54.47154471544715,134,246
8,noise,0,vgg16,resnet18,2.1856717076940058,198,9059,2.6614261650757998,237,8905,24.324324324324326,45,185
8,noise,0,vgg16,vgg16,2.1856717076940058,198,9059,2.1856717076940058,198,9059,100.0,198,198
8,noise,0,vgg16,mobilenet_v2,2.1856717076940058,198,9059,7.584760573226144,651,8583,45.85987261146497,72,157
8,noise,0,mobilenet_v2,resnet18,9.158608425030566,824,8997,2.6497565394632545,234,8831,17.035110533159948,131,769
8,noise,0,mobilenet_v2,vgg16,9.158608425030566,824,8997,1.8058953745776534,155,8583,10.735294117647058,73,680
8,noise,0,mobilenet_v2,mobilenet_v2,9.158608425030566,824,8997,9.158608425030566,824,8997,100.0,824,824
8,fgsm,0,resnet18,resnet18,59.215645042582274,5632,9511,59.215645042582274,5632,9511,100.0,5632,5632
8,fgsm,0,resnet18,vgg16,59.215645042582274,5632,9511,30.00561482313307,2672,8905,48.43688167787891,2448,5054
8,fgsm,0,resnet18,mobilenet_v2,59.215645042582274,5632,9511,58.724946212206994,5186,8831,78.46,3923,5000
8,fgsm,0,vgg16,resnet18,86.93012473782979,7875,9059,54.92419988770354,4891,8905,62.47572186973974,4825,7723
8,fgsm,0,vgg16,vgg16,86.93012473782979,7875,9059,86.93012473782979,7875,9059,100.0,7875,7875
8,fgsm,0,vgg16,mobilenet_v2,86.93012473782979,7875,9059,64.38308283816848,5526,8583,71.94166891709425,5328,7406
8,fgsm,0,mobilenet_v2,resnet18,91.61942869845504,8243,8997,47.54840901370173,4199,8831,51.187824795842616,4137,8082
8,fgsm,0,mobilenet_v2,vgg16,91.61942869845504,8243,8997,30.5487591751136,2622,8583,32.92931870375096,2581,7838
8,fgsm,0,mobilenet_v2,mobilenet_v2,91.61942869845504,8243,8997,91.61942869845504,8243,8997,100.0,8243,8243
8,pgd,0,resnet18,resnet18,100.0,9511,9511,100.0,9511,9511,100.0,9511,9511
8,pgd,0,resnet18,vgg16,100.0,9511,9511,19.382369455362156,1726,8905,19.382369455362156,1726,8905
8,pgd,0,resnet18,mobilenet_v2,100.0,9511,9511,71.75857773751557,6337,8831,71.75857773751557,6337,8831
8,pgd,0,vgg16,resnet18,99.97792250800309,9057,9059,92.99270072992701,8281,8905,93.01359092440751,8281,8903
8,pgd,0,vgg16,vgg16,99.97792250800309,9057,9059,99.97792250800309,9057,9059,100.0,9057,9057
8,pgd,0,vgg16,mobilenet_v2,99.97792250800309,9057,9059,94.80368169637656,8137,8583,94.82577788136581,8137,8581
8,pgd,0,mobilenet_v2,resnet18,100.0,8997,8997,63.4582719963764,5604,8831,63.4582719963764,5604,8831
8,pgd,0,mobilenet_v2,vgg16,100.0,8997,8997,25.725270884306184,2208,8583,25.725270884306184,2208,8583
8,pgd,0,mobilenet_v2,mobilenet_v2,100.0,8997,8997,100.0,8997,8997,100.0,8997,8997
2,noise,1,resnet18,resnet18,0.3999578991685086,38,9501,0.3999578991685086,38,9501,100.0,38,38
2,noise,1,resnet18,vgg16,0.3999578991685086,38,9501,0.25918413342348434,23,8874,5.0,1,20
2,noise,1,resnet18,mobilenet_v2,0.3999578991685086,38,9501,0.5396896784348999,48,8894,5.555555555555555,1,18
2,noise,1,vgg16,resnet18,0.2101537440548612,19,9041,0.3042596348884381,27,8874,6.666666666666667,1,15
2,noise,1,vgg16,vgg16,0.2101537440548612,19,9041,0.2101537440548612,19,9041,100.0,19,19
2,noise,1,vgg16,mobilenet_v2,0.2101537440548612,19,9041,0.41914076143905,36,8589,8.333333333333332,1,12
2,noise,1,mobilenet_v2,resnet18,0.6624710168930109,60,9057,0.15740948954351247,14,8894,5.660377358490567,3,53
2,noise,1,mobilenet_v2,vgg16,0.6624710168930109,60,9057,0.18628478286179997,16,8589,2.564102564102564,1,39
2,noise,1,mobilenet_v2,mobilenet_v2,0.6624710168930109,60,9057,0.6624710168930109,60,9057,100.0,60,60
2,fgsm,1,resnet18,resnet18,38.78539101147248,3685,9501,38.78539101147248,3685,9501,100.0,3685,3685
2,fgsm,1,resnet18,vgg16,38.78539101147248,3685,9501,6.411990083389678,569,8874,16.82723185613359,524,3114
2,fgsm,1,resnet18,mobilenet_v2,38.78539101147248,3685,9501,15.729705419383855,1399,8894,39.38814531548757,1236,3138
2,fgsm,1,vgg16,resnet18,51.68676031412455,4673,9041,11.652017128690556,1034,8874,21.756487025948104,981,4509
2,fgsm,1,vgg16,vgg16,51.68676031412455,4673,9041,51.68676031412455,4673,9041,100.0,4673,4673
2,fgsm,1,vgg16,mobilenet_v2,51.68676031412455,4673,9041,17.999767144021423,1546,8589,33.1133631864247,1405,4243
2,fgsm,1,mobilenet_v2,resnet18,79.31986308932318,7184,9057,8.803687879469305,783,8894,11.081042586526134,778,7021
2,fgsm,1,mobilenet_v2,vgg16,79.31986308932318,7184,9057,4.7851903597624865,411,8589,6.089027839809439,409,6717
2,fgsm,1,mobilenet_v2,mobilenet_v2,79.31986308932318,7184,9057,79.31986308932318,7184,9057,100.0,7184,7184
2,pgd,1,resnet18,resnet18,94.14798442269235,8945,9501,94.14798442269235,8945,9501,100.0,8945,8945
2,pgd,1,resnet18,vgg16,94.14798442269235,8945,9501,5.645706558485463,501,8874,6.023082471748016,501,8318
2,pgd,1,resnet18,mobilenet_v2,94.14798442269235,8945,9501,21.621317742298178,1923,8894,23.03633529200144,1921,8339
2,pgd,1,vgg16,resnet18,71.0540869372857,6424,9041,15.877845391029973,1409,8874,22.11922646635768,1384,6257
2,pgd,1,vgg16,vgg16,71.0540869372857,6424,9041,71.0540869372857,6424,9041,100.0,6424,6424
2,pgd,1,vgg16,mobilenet_v2,71.0540869372857,6424,9041,23.53009663523111,2021,8589,32.59705488621151,1948,5976
2,pgd,1,mobilenet_v2,resnet18,99.83438224577674,9042,9057,11.131099617719812,990,8894,11.149904268498705,990,8879
2,pgd,1,mobilenet_v2,vgg16,99.83438224577674,9042,9057,4.389335196181162,377,8589,4.397014229064614,377,8574
2,pgd,1,mobilenet_v2,mobilenet_v2,99.83438224577674,9042,9057,99.83438224577674,9042,9057,100.0,9042,9042
4,noise,1,resnet18,resnet18,1.0525207872855489,100,9501,1.0525207872855489,100,9501,100.0,100,100
4,noise,1,resnet18,vgg16,1.0525207872855489,100,9501,0.6986702727067838,62,8874,8.771929824561402,5,57
4,noise,1,resnet18,mobilenet_v2,1.0525207872855489,100,9501,1.6977737800764563,151,8894,19.642857142857142,11,56
4,noise,1,vgg16,resnet18,0.6636434022785089,60,9041,0.8000901510029299,71,8874,8.0,4,50
4,noise,1,vgg16,vgg16,0.6636434022785089,60,9041,0.6636434022785089,60,9041,100.0,60,60
4,noise,1,vgg16,mobilenet_v2,0.6636434022785089,60,9041,1.4902782628943998,128,8589,9.30232558139535,4,43
4,noise,1,mobilenet_v2,resnet18,1.9984542342939164,181,9057,0.6071508882392624,54,8894,4.968944099378882,8,161
4,noise,1,mobilenet_v2,vgg16,1.9984542342939164,181,9057,0.43078356036791243,37,8589,6.976744186046512,9,129
4,noise,1,mobilenet_v2,mobilenet_v2,1.9984542342939164,181,9057,1.9984542342939164,181,9057,100.0,181,181
4,fgsm,1,resnet18,resnet18,47.35291021997685,4499,9501,47.35291021997685,4499,9501,100.0,4499,4499
4,fgsm,1,resnet18,vgg16,47.35291021997685,4499,9501,13.917061077304485,1235,8874,29.6220633299285,1160,3916
4,fgsm,1,resnet18,mobilenet_v2,47.35291021997685,4499,9501,30.200134922419608,2686,8894,57.96549974632167,2285,3942
4,fgsm,1,vgg16,resnet18,74.94746156398628,6776,9041,30.9781383817895,2749,8874,40.98955969133,2709,6609
4,fgsm,1,vgg16,vgg16,74.94746156398628,6776,9041,74.94746156398628,6776,9041,100.0,6776,6776
4,fgsm,1,vgg16,mobilenet_v2,74.94746156398628,6776,9041,40.400512283152864,3470,8589,53.01928548846032,3354,6326
4,fgsm,1,mobilenet_v2,resnet18,90.38312907143646,8186,9057,22.745671239037556,2023,8894,24.98753738783649,2005,8024
4,fgsm,1,mobilenet_v2,vgg16,90.38312907143646,8186,9057,12.364652462451973,1062,8589,13.66580310880829,1055,7720
4,fgsm,1,mobilenet_v2,mobilenet_v2,90.38312907143646,8186,9057,90.38312907143646,8186,9057,100.0,8186,8186
4,pgd,1,resnet18,resnet18,99.85264708978002,9487,9501,99.85264708978002,9487,9501,100.0,9487,9487
4,pgd,1,resnet18,vgg16,99.85264708978002,9487,9501,9.781383817894975,868,8874,9.796839729119638,868,8860
4,pgd,1,resnet18,mobilenet_v2,99.85264708978002,9487,9501,43.085225995052845,3832,8894,43.15315315315315,3832,8880
4,pgd,1,vgg16,resnet18,97.71043026213914,8834,9041,54.811809781383815,4864,8874,56.09784239067728,4862,8667
4,pgd,1,vgg16,vgg16,97.71043026213914,8834,9041,97.71043026213914,8834,9041,100.0,8834,8834
4,pgd,1,vgg16,mobilenet_v2,97.71043026213914,8834,9041,64.5127488648271,5541,8589,65.9627773801002,5529,8382
4,pgd,1,mobilenet_v2,resnet18,100.0,9057,9057,32.81987856982235,2919,8894,32.81987856982235,2919,8894
4,pgd,1,mobilenet_v2,vgg16,100.0,9057,9057,10.594947025264874,910,8589,10.594947025264874,910,8589
4,pgd,1,mobilenet_v2,mobilenet_v2,100.0,9057,9057,100.0,9057,9057,100.0,9057,9057
8,noise,1,resnet18,resnet18,3.504894221660878,333,9501,3.504894221660878,333,9501,100.0,333,333
8,noise,1,resnet18,vgg16,3.504894221660878,333,9501,1.679062429569529,149,8874,18.269230769230766,38,208
8,noise,1,resnet18,mobilenet_v2,3.504894221660878,333,9501,7.342028333708119,653,8894,49.519230769230774,103,208
8,noise,1,vgg16,resnet18,1.758655016038049,159,9041,2.603110209601082,231,8874,29.28571428571429,41,140
