source,target,mean_ptr_percent,wilson_envelope_low_percent,wilson_envelope_high_percent
resnet18,vgg16,18.089522821275803,15.971918600957583,20.2165129364597
resnet18,mobilenet_v2,72.2677476054645,70.81036475229209,73.64294736999042
vgg16,resnet18,92.73493896041838,91.83344381432288,93.50456140895591
vgg16,mobilenet_v2,95.2309229246591,94.3137576667354,96.02389801056906
mobilenet_v2,resnet18,67.60290187442219,62.448279125588556,71.54626707144428
mobilenet_v2,vgg16,25.941686375278547,24.811513634999354,27.227386125386214
