source,target,baseline_ptr_percent,matched_lr_ptr_percent,difference_points
resnet18,vgg16,19.382369455362156,32.70901500620557,13.326645550843416
resnet18,mobilenet_v2,71.75857773751557,61.65820642978004,-10.100371307735534
vgg16,resnet18,92.99270072992701,95.98330136522623,2.990600635299223
vgg16,mobilenet_v2,94.80368169637656,93.12016622417177,-1.6835154722047996
mobilenet_v2,resnet18,63.4582719963764,37.52961082910321,-25.928661167273187
mobilenet_v2,vgg16,25.725270884306184,18.550155835161032,-7.175115049145154
