paper_id,source,target,attack,clean_accuracy_percent,clean_error_percent,reported_unconditional_attacked_error_percent,newly_induced_error_lower_bound_percent,evidence
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception-ResNet V2,C&W,100.0,0.0,3.8,3.8,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Ensemble,C&W,99.8,0.2,4.0,3.8,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,ResNet V2,JSMA,89.6,10.4,33.6,23.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception V4,JSMA,97.6,2.4,42.8,40.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception-ResNet V2,JSMA,100.0,0.0,39.7,39.7,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Ensemble,JSMA,99.8,0.2,31.1,30.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,ResNet V2,TAP,89.6,10.4,51.8,41.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception V4,TAP,97.6,2.4,75.5,73.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception-ResNet V2,TAP,100.0,0.0,73.7,73.7,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Ensemble,TAP,99.8,0.2,65.8,65.6,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,ResNet V2,ATA,89.6,10.4,52.8,42.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception V4,ATA,97.6,2.4,77.9,75.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception-ResNet V2,ATA,100.0,0.0,74.3,74.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Ensemble,ATA,99.8,0.2,68.1,67.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,ResNet V2,FGSM,89.6,10.4,31.7,21.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception V3,FGSM,96.4,3.6,32.9,29.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception-ResNet V2,FGSM,100.0,0.0,27.2,27.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Ensemble,FGSM,99.8,0.2,23.6,23.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,ResNet V2,BIM,89.6,10.4,37.9,27.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception V3,BIM,96.4,3.6,59.1,55.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception-ResNet V2,BIM,100.0,0.0,30.9,30.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Ensemble,BIM,99.8,0.2,44.5,44.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,ResNet V2,C&W,89.6,10.4,13.3,2.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception V3,C&W,96.4,3.6,8.3,4.7,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception-ResNet V2,C&W,100.0,0.0,6.8,6.8,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Ensemble,C&W,99.8,0.2,7.1,6.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,ResNet V2,JSMA,89.6,10.4,29.3,18.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception V3,JSMA,96.4,3.6,31.1,27.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception-ResNet V2,JSMA,100.0,0.0,34.8,34.8,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Ensemble,JSMA,99.8,0.2,31.1,30.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,ResNet V2,TAP,89.6,10.4,41.6,31.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception V3,TAP,96.4,3.6,72.7,69.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception-ResNet V2,TAP,100.0,0.0,75.8,75.8,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Ensemble,TAP,99.8,0.2,48.3,48.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,ResNet V2,ATA,89.6,10.4,40.1,29.7,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception V3,ATA,96.4,3.6,75.2,71.6,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Inception-ResNet V2,ATA,100.0,0.0,77.9,77.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V4,Ensemble,ATA,99.8,0.2,49.7,49.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,ResNet V2,FGSM,89.6,10.4,28.3,17.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V3,FGSM,96.4,3.6,31.0,27.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V4,FGSM,97.6,2.4,23.5,21.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Ensemble,FGSM,99.8,0.2,21.3,21.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,ResNet V2,BIM,89.6,10.4,39.6,29.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V3,BIM,96.4,3.6,58.5,54.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V4,BIM,97.6,2.4,48.5,46.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Ensemble,BIM,99.8,0.2,45.5,45.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,ResNet V2,C&W,89.6,10.4,14.4,4.0,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V3,C&W,96.4,3.6,8.3,4.7,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V4,C&W,97.6,2.4,7.6,5.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Ensemble,C&W,99.8,0.2,6.5,6.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,ResNet V2,JSMA,89.6,10.4,44.6,34.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V3,JSMA,96.4,3.6,37.3,33.7,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V4,JSMA,97.6,2.4,33.2,30.8,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Ensemble,JSMA,99.8,0.2,35.1,34.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,ResNet V2,TAP,89.6,10.4,46.7,36.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V3,TAP,96.4,3.6,74.1,70.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V4,TAP,97.6,2.4,66.8,64.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Ensemble,TAP,99.8,0.2,51.8,51.6,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,ResNet V2,ATA,89.6,10.4,50.2,39.8,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V3,ATA,96.4,3.6,77.9,74.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Inception V4,ATA,97.6,2.4,69.9,67.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception-ResNet V2,Ensemble,ATA,99.8,0.2,54.7,54.5,"Table 1, accuracy of undefended models under attacks"
