rank,paper_id,title,year,venue,citations,url,doi,arxiv,cites_seed_arxiv
57,c4e0c4a6e82ed58ca57ec36a8ec275db38473ba2,Structure Invariant Transformation for better Adversarial Transferability,2023,IEEE International Conference on Computer Vision,145,https://www.semanticscholar.org/paper/c4e0c4a6e82ed58ca57ec36a8ec275db38473ba2,10.1109/ICCV51070.2023.00425,2309.14700,1611.02770
58,bcac1b00badd7c8830e10ba4eb813ad79a3222b5,Backpropagating Linearly Improves Transferability of Adversarial Examples,2020,Neural Information Processing Systems,144,https://www.semanticscholar.org/paper/bcac1b00badd7c8830e10ba4eb813ad79a3222b5,,2012.03528,1602.02697;1611.02770
59,d73561ab8318ce343f5cb15f96c74f210b6b24fa,Imitation Attacks and Defenses for Black-box Machine Translation Systems,2020,Conference on Empirical Methods in Natural Language Processing,144,https://www.semanticscholar.org/paper/d73561ab8318ce343f5cb15f96c74f210b6b24fa,10.18653/v1/2020.emnlp-main.446,2004.15015,1602.02697;1611.02770
60,8e98bef0a7868f05ced457b9433d674ab4adf218,Boosting Adversarial Transferability by Block Shuffle and Rotation,2023,Computer Vision and Pattern Recognition,143,https://www.semanticscholar.org/paper/8e98bef0a7868f05ced457b9433d674ab4adf218,10.1109/CVPR52733.2024.02297,2308.10299,1602.02697;1611.02770
61,060c6c8312cd9277c97379e82db7c36b9321cce2,Towards Transferable Targeted Attack,2020,Computer Vision and Pattern Recognition,142,https://www.semanticscholar.org/paper/060c6c8312cd9277c97379e82db7c36b9321cce2,10.1109/cvpr42600.2020.00072,,1611.02770
62,3f2095bbbf3e47fbac26da70e95a219c23e3bac9,Black-Box Adversarial Attack with Transferable Model-based Embedding,2019,International Conference on Learning Representations,140,https://www.semanticscholar.org/paper/3f2095bbbf3e47fbac26da70e95a219c23e3bac9,,1911.07140,1611.02770
63,1a6446a451472b1c5815ce3e00cf84eb7e641a2a,Universal Adversarial Perturbations for Speech Recognition Systems,2019,Interspeech,139,https://www.semanticscholar.org/paper/1a6446a451472b1c5815ce3e00cf84eb7e641a2a,10.21437/interspeech.2019-1353,1905.03828,1602.02697
64,36ad06e6f9b39192e7668634eadd6fcf9593e922,Efficient Adversarial Training With Transferable Adversarial Examples,2019,Computer Vision and Pattern Recognition,138,https://www.semanticscholar.org/paper/36ad06e6f9b39192e7668634eadd6fcf9593e922,10.1109/cvpr42600.2020.00126,1912.11969,1602.02697;1611.02770
65,765896e190d03a99f384bbedc412d2a52cf98cea,Deceiving End-to-End Deep Learning Malware Detectors using Adversarial Examples,2018,,135,https://www.semanticscholar.org/paper/765896e190d03a99f384bbedc412d2a52cf98cea,,1802.04528,1602.02697
66,63dc08b8efd67cf788cd17301bdfaf74d9450d93,Semantic Robustness of Models of Source Code,2020,"IEEE International Conference on Software Analysis, Evolution, and Reengineering",134,https://www.semanticscholar.org/paper/63dc08b8efd67cf788cd17301bdfaf74d9450d93,10.1109/SANER53432.2022.00070,2002.03043,1602.02697
67,538f0c8379f9e091d4769ec3bdff6eb45130554f,Boosting the Transferability of Adversarial Attacks with Reverse Adversarial Perturbation,2022,Neural Information Processing Systems,133,https://www.semanticscholar.org/paper/538f0c8379f9e091d4769ec3bdff6eb45130554f,10.48550/arXiv.2210.05968,2210.05968,1611.02770
68,0ab0b3cf5811a219339ad3715ce719f550122a62,Universal Adversarial Attack on Attention and the Resulting Dataset DAmageNet,2020,IEEE Transactions on Pattern Analysis and Machine Intelligence,133,https://www.semanticscholar.org/paper/0ab0b3cf5811a219339ad3715ce719f550122a62,10.1109/TPAMI.2020.3033291,2001.06325,1602.02697;1611.02770
69,94b94c545cbb90e2d1ab316758a910c53ed95b66,Rethinking Model Ensemble in Transfer-based Adversarial Attacks,2023,International Conference on Learning Representations,131,https://www.semanticscholar.org/paper/94b94c545cbb90e2d1ab316758a910c53ed95b66,10.48550/arXiv.2303.09105,2303.09105,1611.02770
70,9e5dd10d0706cec7d16e03f45f8a347c194d5888,Improving the Transferability of Adversarial Samples with Adversarial Transformations,2021,Computer Vision and Pattern Recognition,127,https://www.semanticscholar.org/paper/9e5dd10d0706cec7d16e03f45f8a347c194d5888,10.1109/CVPR46437.2021.00891,,1602.02697
71,c6a3aff5cb098a402f5384ed46b333dad672044a,Curls & Whey: Boosting Black-Box Adversarial Attacks,2019,Computer Vision and Pattern Recognition,127,https://www.semanticscholar.org/paper/c6a3aff5cb098a402f5384ed46b333dad672044a,10.1109/CVPR.2019.00668,1904.01160,1602.02697;1611.02770
72,16a8e329c06b4c6f61762da7fa77a84bf3e12dca,"Model Extraction and Adversarial Transferability, Your BERT is Vulnerable!",2021,North American Chapter of the Association for Computational Linguistics,125,https://www.semanticscholar.org/paper/16a8e329c06b4c6f61762da7fa77a84bf3e12dca,10.18653/V1/2021.NAACL-MAIN.161,2103.10013,1602.02697;1611.02770
73,f90e535758ba262ebbdd1e7966f6645eff535604,T-SEA: Transfer-Based Self-Ensemble Attack on Object Detection,2022,Computer Vision and Pattern Recognition,121,https://www.semanticscholar.org/paper/f90e535758ba262ebbdd1e7966f6645eff535604,10.1109/CVPR52729.2023.01965,2211.09773,1602.02697
74,84421139efaae7862116f39d4df1cd5ea27103fc,Adversarial Threats to DeepFake Detection: A Practical Perspective,2020,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),120,https://www.semanticscholar.org/paper/84421139efaae7862116f39d4df1cd5ea27103fc,10.1109/CVPRW53098.2021.00103,2011.09957,1602.02697;1611.02770
75,7f1e602a44b56b9853fcc2063df9593e7b79ba22,Adversarial Examples in Modern Machine Learning: A Review,2019,arXiv.org,120,https://www.semanticscholar.org/paper/7f1e602a44b56b9853fcc2063df9593e7b79ba22,,1911.05268,1611.02770
76,11f767a0ad2b7b005fbdaea4a6139a7db9a7c93d,Understanding and Enhancing the Transferability of Adversarial Examples,2018,arXiv.org,119,https://www.semanticscholar.org/paper/11f767a0ad2b7b005fbdaea4a6139a7db9a7c93d,,1802.09707,1602.02697;1611.02770
77,75bd07e920f631102723cca4fee996829cb41c0e,Universal Adversarial Examples in Remote Sensing: Methodology and Benchmark,2022,IEEE Transactions on Geoscience and Remote Sensing,117,https://www.semanticscholar.org/paper/75bd07e920f631102723cca4fee996829cb41c0e,10.1109/TGRS.2022.3156392,2202.07054,1611.02770
78,47b4744162537f40572cdd723f8f37fb489a3e75,A Unified Approach to Interpreting and Boosting Adversarial Transferability,2020,International Conference on Learning Representations,117,https://www.semanticscholar.org/paper/47b4744162537f40572cdd723f8f37fb489a3e75,,2010.04055,1602.02697;1611.02770
79,d90038afede2d2ea0c5b3de7a9c96485234bc29e,ML-LOO: Detecting Adversarial Examples with Feature Attribution,2019,AAAI Conference on Artificial Intelligence,117,https://www.semanticscholar.org/paper/d90038afede2d2ea0c5b3de7a9c96485234bc29e,10.1609/AAAI.V34I04.6140,1906.03499,1602.02697;1611.02770
80,07322a941dc6ebe16ac2a31fddd356bd726fe8dd,Boosting Adversarial Transferability through Enhanced Momentum,2021,British Machine Vision Conference,116,https://www.semanticscholar.org/paper/07322a941dc6ebe16ac2a31fddd356bd726fe8dd,10.5244/c.35.186,2103.10609,1602.02697;1611.02770
